@relation comments_train-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute ' comment' string
@attribute class {neu,neg,pos}

@data
'Legal\tParece ser legal, ainda to baixando, espero q seja bom.',neu
'Orrivel\tOdiei nao recomendo essa bosta minha tia voi na casa de uma amiga  e tinha um app q te deixa velha ai achei que era esse mas nao e e orrivel esse app. se desse dava 0 estrela',neg
'Geovanna Araújo\tSerá Qi é legal esse negócio',pos
'Affs merda\tNao gostei dessa mers Da affs que pesteira poir coisa',pos
'Nao baixe\tIsso nao presta tirei a foto da minha cara apareceu uma velha nada a ver o bosta .e dei a estrela',neg
'Suelem\tPessimo',neg
'Lixo\tUma merda se podece eu dava 0 estrela.',neg
'Zero\tUma porcaria nao percam tempo...',neg
'Gfb\tMuito legal mas demorou para baixa',pos
'Horrível não saque isto',neg
'Péssimo\tA bosta desse jogo fica falando o modo como vou morrer ... E não faz o rosto ficar velho  ... Apenas bota uma imagem horrível de uma velhinha e fala que Vo morrer de tédio , com agulha no pescoço e assim vai  , péssimo !',neg
'Uma bosta\tUma bosta',neg
'Otimo só que nao\tNao funciona droga',neg
'Deve ser chato mais vou temtar.\tOi tenho 7anos sou filha da renatasalles.',pos
'Nao baixe\tMuito ruim..nao tem nada a ver,pensei que vc baixa -se e iria mudar as fotos q vc tira-se mais aparece umas fotos nada a ver com as q vc tira ..muito ruim',neg
'Ė bem legal, vou dar 2 estrelas,  por que cara velha não tem nada ver\tJogo chato mais ou menos',neg
'Bosta\tUm dos piores apps',neg
'Que bosta\tMerda nao baixem',neg
'Mais pra mais do q pra menos!\tÉ legal mais toda vez aparece caras repitidas e aparece propagandas! Chato!!',neg
'Ruim\tÉ uma perca de tempo ! Alem de ser muito ruim :/',neg
'Nao gostei\tTirei foto do meu som pra testar esse jogo e apareceu uma cara de velha nada vê :(',neg
'Porcaria\tEu nao ouvi os comentarios e baixei me arrependi,perdi meu tempo ,porcaria,nao é a nossa foto de verdade é a de outra pessoa,se voce colocar a sua foto varias veses aparece varias velhas diferentes e ele enventa com quantos anos nós vamos morrer e o motivo da nossa morte.',neg
'n\tuma porcaria so aparece velhas feia tirei uma foto do meu marido e apareceu uma mulher resumindo uma bsssssssssta.',neg
'Péssimo\tUma bosta esse app aparece gente nada a ver com vc                     NÃO BAIXEM',neg
'Perda de tempo.\tNão funciona. Muito ruim!',neg
'Merda\tEsse app é uma bosta eu aperto para tirar foto e ñ sai a imagem.',neg
'Essa carniça essa merda,desgraça ruim   é ruim até pra desinstalar\tdesinstalar Peste ruim miséra  Filho dá peste',neg
'mentira\tisso nao presta.',neg
'uma merda\tnao baixem',neg
'Horrivel\tPerca de tempo ,aparece foto de outra pessoa velha',neg
'Adorei\tBaixem o face de velha e vao se rir muito.',pos
'Muiiito ruim...\tMuiiito ruim.. mas ruim mesmo... nao vale nem o tempo espwrando baixar...',neg
'Pior app que ja vi\tNão chega nem perto',neg
'E um app pra brincar\tN e um app serio, e pra brincar, eu vou morrer com112 anos na terceira guerra mundial kkk',pos
'Legal\tolha aqui porque voces meninos não vão falar coisas boas obrigado.',pos
'Ridiculo\tAplicativo mentiroso, nao aparece sua foto e sim de outra pessoa. Baixei mesmo depois de ler todos os comentarios dizendo que é ruim. Falta de respeito.',neg
'App de merda\tA pessoa que criou isso nao tinha o que fazer nada a ver.',neg
