class, rating, comment
neu,3,"Legal	Parece ser legal, ainda to baixando, espero q seja bom."
neg,1,"Orrivel	Odiei nao recomendo essa bosta minha tia voi na casa de uma amiga  e tinha um app q te deixa velha ai achei que era esse mas nao e e orrivel esse app. se desse dava 0 estrela"
pos,5,"Geovanna Araújo	Será Qi é legal esse negócio"
pos,5,"Affs merda	Nao gostei dessa mers Da affs que pesteira poir coisa"
neg,1,"Nao baixe	Isso nao presta tirei a foto da minha cara apareceu uma velha nada a ver o bosta .e dei a estrela"
neg,1,"Suelem	Pessimo"
neg,1,"Lixo	Uma merda se podece eu dava 0 estrela."
neg,1,"Zero	Uma porcaria nao percam tempo..."
pos,5,"Gfb	Muito legal mas demorou para baixa"
neg,1,"Horrível não saque isto"
neg,1,"Péssimo	A bosta desse jogo fica falando o modo como vou morrer ... E não faz o rosto ficar velho  ... Apenas bota uma imagem horrível de uma velhinha e fala que Vo morrer de tédio , com agulha no pescoço e assim vai  , péssimo !"
neg,1,"Uma bosta	Uma bosta"
neg,1,"Otimo só que nao	Nao funciona droga"
pos,5,"Deve ser chato mais vou temtar.	Oi tenho 7anos sou filha da renatasalles."
neg,1,"Nao baixe	Muito ruim..nao tem nada a ver,pensei que vc baixa -se e iria mudar as fotos q vc tira-se mais aparece umas fotos nada a ver com as q vc tira ..muito ruim"
neg,2,"Ė bem legal, vou dar 2 estrelas,  por que cara velha não tem nada ver	Jogo chato mais ou menos"
neg,1,"Bosta	Um dos piores apps"
neg,1,"Que bosta	Merda nao baixem"
neg,2,"Mais pra mais do q pra menos!	É legal mais toda vez aparece caras repitidas e aparece propagandas! Chato!!"
neg,1,"Ruim	É uma perca de tempo ! Alem de ser muito ruim :/"
neg,1,"Nao gostei	Tirei foto do meu som pra testar esse jogo e apareceu uma cara de velha nada vê :("
neg,1,"Porcaria	Eu nao ouvi os comentarios e baixei me arrependi,perdi meu tempo ,porcaria,nao é a nossa foto de verdade é a de outra pessoa,se voce colocar a sua foto varias veses aparece varias velhas diferentes e ele enventa com quantos anos nós vamos morrer e o motivo da nossa morte."
neg,1,"n	uma porcaria so aparece velhas feia tirei uma foto do meu marido e apareceu uma mulher resumindo uma bsssssssssta."
neg,1,"Péssimo	Uma bosta esse app aparece gente nada a ver com vc                     NÃO BAIXEM"
neg,1,"Perda de tempo.	Não funciona. Muito ruim!"
neg,1,"Merda	Esse app é uma bosta eu aperto para tirar foto e ñ sai a imagem."
neg,1,"Essa carniça essa merda,desgraça ruim   é ruim até pra desinstalar	desinstalar Peste ruim miséra  Filho dá peste"
neg,1,"mentira	isso nao presta."
neg,1,"uma merda	nao baixem"
neg,1,"Horrivel	Perca de tempo ,aparece foto de outra pessoa velha"
pos,5,"Adorei	Baixem o face de velha e vao se rir muito."
neg,1,"Muiiito ruim...	Muiiito ruim.. mas ruim mesmo... nao vale nem o tempo espwrando baixar..."
neg,1,"Pior app que ja vi	Não chega nem perto"
pos,5,"E um app pra brincar	N e um app serio, e pra brincar, eu vou morrer com112 anos na terceira guerra mundial kkk"
pos,5,"Legal	olha aqui porque voces meninos não vão falar coisas boas obrigado."
neg,1,"Ridiculo	Aplicativo mentiroso, nao aparece sua foto e sim de outra pessoa. Baixei mesmo depois de ler todos os comentarios dizendo que é ruim. Falta de respeito."
neg,1,"App de merda	A pessoa que criou isso nao tinha o que fazer nada a ver."
neg,1,"E uma bosta	E a pior app do mundo eu quero dar 0 estrelas mas nao da"
neg,1,"Lixo	Uma merda mentirosa nao baixem!!"
neg,1,"Sem graça pra carai	Jogo sem graça n aparece como se eu fosse velha muito chato"
neg,2,"Horrivel	Não gostei não faz o que prometi"
neg,1,"E uma merda	Porfavor ñ baixem essa merda"
neg,1,"Chato	Estranho cada vez ele apare e uma fito diferente"
neg,1,"Horrivel	Esse aplicativo é uma merda,pq toda vez q eu bato uma foto minha e o aplicativo avalia como vai ser minha aparencia quando eu estiver idosa,aparece toda vez uma aparencia diferente sendo q é sempre a mesma pessoa no caso eu,isso é uma enganação,ñ baixem."
neg,1,"NÃO BAIXEM	Esse app é uma fraude, não executa nada e instala um monte de ads no celular."
neg,2,"Fraco	Perda de tempo."
neg,1,"Aaaaf	uma porcaria!"
neg,1,"nao percam tempo baixando	muito ruim"
neg,1,"Muito ruim nao merece nem 1 estrela....	O pior aplicativo que eu ja baixei..  nao perca tempo isso e uma bosta. Olha que ja vi app ruim... mas esse ganhou o oscar."
neg,2,"nao sei como que e?	estou tentando abaixar este app mais todos comentarios tao ruim mas acho q nao vale apena."
neg,1,"Leia	Muito ruim , sendo que nao desistala. Fica quebradilhos de app no cel. Nai baixem."
neu,3,"mais ou menos	eeh mais ou menos as caras são aleatória .."
neg,1,"Péssimo	Não funciona,não per a seu tempo baixando isso."
neg,1,"Muito ruim	Uma merda nao instalem nao presta...."
neg,1,"Motorola razr D1	Não presta pra nada só gasta memória do smartphone"
neg,1,"Porcaria	Nao funciona."
neg,1,"Nao vale nada	Nao tem nada a ver com que parece E LIXO"
neg,1,"Galax note 2	Muito ruim.. trava.. nao recomendo..  Porcaria.. aff.. so raiva.."
neg,1,"Muito ruim	so trava fecha, nao funciona no meu Xperia Mini Pro"
pos,5,"Que povo  velho	C4rev"
neg,1,"Merda	Esse app é uma verdadeira bosta."
neg,1,"Horrivel	Aparece uma foto aleatoria com um texto dizendo q vc vai morrer, sem contar que é super lento, não recomendo a ninguem"
neg,1,"Zzzzzz	má que lixo de app, meu deus..ainda vão inventar coisa pior"
neg,1,"Nao funciona!	Esse programa nao faz nada. So diz que vamos morrer."
